date,flight_id,scale,index_url,frame_status,reference_image_url,county_name,county_url
1978-09-21,USDA-24-615010,['24000'],http://mil.library.ucsb.edu/ap_indexes/usda24615010,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1978-06-01,GS-VEQV,"['30000', '24000', '20000']",http://mil.library.ucsb.edu/ap_indexes/gsveqv,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1978-02-14,78-017-02582,['130000'],http://mil.library.ucsb.edu/ap_indexes/7801702582,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1978-02-14,78-017-02581,['130000'],http://mil.library.ucsb.edu/ap_indexes/7801702581,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1978-01-24,AMI-SBD-78,['36000'],http://mil.library.ucsb.edu/ap_indexes/amisbd78,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1977-10-17,TG-3700,"['24000', '12000']",http://mil.library.ucsb.edu/ap_indexes/tg3700,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1977-09-20,TG-3699,['24000'],http://mil.library.ucsb.edu/ap_indexes/tg3699,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1977-07-28,TG-77V-12,['25800'],http://mil.library.ucsb.edu/ap_indexes/tg77v12,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1977-07-05,77-094-02511,['32500'],http://mil.library.ucsb.edu/ap_indexes/7709402511,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1977-06-03,77-072-02497,['32500'],http://mil.library.ucsb.edu/ap_indexes/7707202497,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
